product_id,product_name,fixed_price,dealer_price,cost_price,product_condition,product_description,product_family
1,Purpose,469.8,516.78,563.76,out_of_stock,Reduce raise author play move each left establish understand.,Clothing
2,Brother,439.43,483.37,527.32,available,Detail food shoulder argue start source husband at tree note responsibility defense material.,Electronics
3,Ago,87.05,95.76,104.46,out_of_stock,Central cause seat much section investment on gun young catch management.,Home
4,Site,262.7,288.97,315.24,discontinued,Technology check civil quite others his.,Beauty
5,Face,133.82,147.2,160.58,out_of_stock,You more wife team activity result race Mr environment political born itself law.,Home
6,Election,352.83,388.11,423.4,available,Will seven medical blood personal success medical current hear.,Electronics
7,Dog,294.34,323.77,353.21,out_of_stock,Much single morning a food affect upon these.,Home
8,Chair,28.19,31.01,33.83,out_of_stock,Dream drive note bad rule staff within mouth call.,Beauty
9,Since,395.28,434.81,474.34,discontinued,Water close month parent who up sense ready require human public health.,Clothing
10,Blue,335.16,368.68,402.19,out_of_stock,Later easy ask again network open according remain arrive attack all form.,Sports
11,Require,173.77,191.15,208.52,discontinued,Draw protect Democrat car very number line six space couple best issue.,Beauty
12,Sit,336.94,370.63,404.33,discontinued,In tell approach president position art rock song body court movie.,Beauty
13,Wait,260.69,286.76,312.83,discontinued,Instead everything economic type kitchen technology nearly.,Beauty
14,Offer,363.32,399.65,435.98,out_of_stock,Present music address behavior send door.,Beauty
15,Begin,78.56,86.42,94.27,available,Magazine degree husband around her world enter six lawyer institution whatever.,Electronics
16,Performance,448.32,493.15,537.98,available,Product main couple design around save article finish anyone live try most arm.,Beauty
17,Knowledge,157.38,173.12,188.86,out_of_stock,Bag control organization push dog build three east organization people information on.,Home
18,Almost,294.08,323.49,352.9,available,First end prove fire enter capital population lead upon very act perform.,Electronics
19,All,254.5,279.95,305.4,available,You available defense enter value thing these hard citizen street region particularly would.,Clothing
20,Better,467.26,513.99,560.71,out_of_stock,Account stage federal professional voice care break blood network evening painting response.,Home
21,Discover,415.25,456.78,498.3,available,Reach table measure economy traditional anything plant stop.,Home
22,Early,42.69,46.96,51.23,available,About side PM energy scientist necessary.,Home
23,Mouth,156.08,171.69,187.3,out_of_stock,Night born war real chance along hard need involve among half.,Home
24,Play,18.62,20.48,22.34,discontinued,Together decide economic bill sister this.,Electronics
25,Agreement,342.85,377.14,411.42,discontinued,Wind see understand door class son computer include conference under site.,Clothing
26,Option,423.62,465.98,508.34,discontinued,Soon ten specific environment skin blue the teach develop staff least.,Clothing
27,Decide,430.76,473.84,516.91,discontinued,Star the development process huge everything attorney significant go.,Beauty
28,Sense,186.56,205.22,223.87,out_of_stock,Hundred wonder movie voice boy wife condition while enter board its rock.,Sports
29,Rate,363.0,399.3,435.6,discontinued,Job worker break tonight couple and job mind southern rather.,Electronics
30,Science,344.99,379.49,413.99,discontinued,Hair attorney professional form finish summer rest feel.,Clothing
31,Offer,159.3,175.23,191.16,discontinued,Project for recent never court professor here security community.,Electronics
32,Kind,204.62,225.08,245.54,out_of_stock,Feeling nature a expert involve oil pressure let kind degree list top somebody.,Electronics
33,Discussion,85.25,93.78,102.3,available,Probably exist professional people behavior weight dog financial.,Beauty
34,List,67.8,74.58,81.36,out_of_stock,Challenge animal worker particularly shoulder lay though offer.,Clothing
35,Perform,174.06,191.47,208.87,out_of_stock,Manager during prevent accept seem show blood interesting compare when.,Sports
36,Fall,82.08,90.29,98.5,available,Let newspaper true building card let most next fish sense kind spring.,Sports
37,Table,166.53,183.18,199.84,out_of_stock,Interview trade knowledge city technology late seem style everyone sing machine dream.,Sports
38,True,91.51,100.66,109.81,discontinued,Back experience even floor music catch discuss really relationship ask imagine.,Home
39,According,350.19,385.21,420.23,discontinued,Letter artist strategy hope show watch affect thing offer local wall fear.,Clothing
40,Song,419.69,461.66,503.63,discontinued,Table well industry section national owner determine detail job ahead.,Home
41,Sure,281.0,309.1,337.2,available,Protect something right subject try wonder move trade option production.,Home
42,Collection,334.67,368.14,401.6,discontinued,Poor career left anyone here deep force.,Home
43,Save,121.93,134.12,146.32,discontinued,Everything week instead strong like see appear weight difference attention.,Beauty
44,Knowledge,103.26,113.59,123.91,discontinued,Senior wear current after charge call.,Beauty
45,Grow,107.48,118.23,128.98,available,Nor design record short cold parent security.,Electronics
46,Fall,144.42,158.86,173.3,discontinued,Sing clearly find official up office traditional.,Electronics
47,Clearly,31.9,35.09,38.28,discontinued,However resource away real physical big significant sure outside building.,Clothing
48,Dinner,58.93,64.82,70.72,discontinued,Site girl into have media game support state black whether player stock religious.,Clothing
49,Source,143.54,157.89,172.25,discontinued,Computer miss practice pattern try simple let stay or focus early.,Beauty
50,Great,114.97,126.47,137.96,available,Everything late seek now property from management.,Electronics
51,Blue,400.34,440.37,480.41,available,Consider deep something future they red everybody act way beat.,Electronics
52,Best,376.04,413.64,451.25,out_of_stock,Major serve real position make society behavior develop reality fill ok.,Home
53,Husband,471.97,519.17,566.36,available,Network gas you nearly goal law fill discover return firm sea week.,Sports
54,Bill,97.89,107.68,117.47,out_of_stock,Course school everybody operation set others wonder strategy.,Sports
55,Her,26.19,28.81,31.43,available,Dinner conference add move ever window network recently call.,Sports
56,Throw,224.28,246.71,269.14,available,Bill activity expect long future whole education technology box assume man officer.,Beauty
57,Guy,221.34,243.47,265.61,out_of_stock,Charge specific we be easy newspaper.,Sports
58,Pm,259.58,285.54,311.5,discontinued,Paper so difficult mission late kind team wrong figure perform participant.,Sports
59,Everything,495.79,545.37,594.95,out_of_stock,Way debate decision produce church community avoid.,Home
60,Surface,341.99,376.19,410.39,available,Impact ready like allow explain executive.,Clothing
61,Animal,490.85,539.94,589.02,available,Author do enough social operation sound cup boy different chance enter.,Beauty
62,Show,480.54,528.59,576.65,out_of_stock,Author coach film see notice eye buy.,Electronics
63,Machine,158.48,174.33,190.18,discontinued,Record wall matter management ball always it focus economy.,Home
64,Not,22.47,24.72,26.96,discontinued,Director purpose team onto again share start.,Sports
65,Capital,75.55,83.11,90.66,out_of_stock,American series like prepare trouble consider one play man before girl four prove.,Electronics
66,Win,486.9,535.59,584.28,discontinued,Form really explain war spend nearly lawyer fire.,Home
67,Human,14.64,16.1,17.57,out_of_stock,Break significant ten stay ability thank left approach million performance.,Beauty
68,Bar,317.57,349.33,381.08,discontinued,Personal service data near until just recognize building win participant dream citizen.,Sports
69,Old,104.44,114.88,125.33,out_of_stock,Add impact different success box water positive child usually factor relate indeed lot.,Beauty
70,Finally,151.31,166.44,181.57,discontinued,During necessary himself two meet these tell everybody so increase various meet.,Home
71,Themselves,478.64,526.5,574.37,discontinued,Executive fear only your majority chance.,Electronics
72,Production,427.07,469.78,512.48,out_of_stock,Machine forward several help usually thank wonder draw him task improve fish.,Clothing
73,Present,379.62,417.58,455.54,available,Relate specific history professional star wonder manager already maybe opportunity thank them.,Sports
74,Value,357.48,393.23,428.98,available,Between treat address century that wide avoid sit enter perhaps however.,Beauty
75,Training,227.37,250.11,272.84,discontinued,System system teacher here first responsibility service.,Electronics
76,High,294.02,323.42,352.82,out_of_stock,Along attention piece TV young section its better plant their kitchen really.,Electronics
77,Participant,174.52,191.97,209.42,available,Animal someone fall hear certainly most.,Clothing
78,Dark,460.16,506.18,552.19,available,Radio conference company participant him raise marriage on discussion point least project together.,Home
79,Sea,119.98,131.98,143.98,available,Top quality citizen kid generation onto police interesting economic suddenly current.,Clothing
80,Available,412.99,454.29,495.59,out_of_stock,Table blood high grow fast recognize against stop how account.,Clothing
81,Answer,81.73,89.9,98.08,discontinued,Treat seat strategy total simply discover.,Home
82,Recently,231.17,254.29,277.4,out_of_stock,Despite couple economy sense should race carry best physical always.,Home
83,Drive,279.34,307.27,335.21,out_of_stock,Almost half capital travel force indeed customer skill theory hand maybe.,Home
84,Spring,482.46,530.71,578.95,available,Store either station loss southern second full boy while.,Electronics
85,Figure,240.25,264.28,288.3,discontinued,Senior difficult put purpose however suffer newspaper.,Electronics
86,Base,381.36,419.5,457.63,discontinued,So add Mr lawyer pull public once.,Sports
87,Top,480.27,528.3,576.32,available,Board doctor agent this no trip determine as statement travel.,Sports
88,Early,476.56,524.22,571.87,discontinued,Power bring animal also you break doctor Mr home.,Clothing
89,Trial,106.43,117.07,127.72,available,Provide sea watch industry score choice increase between majority impact.,Clothing
90,Blood,321.4,353.54,385.68,discontinued,Allow have kitchen wear talk between rate name within.,Sports
91,Husband,263.45,289.8,316.14,discontinued,Art every why we station begin deep police wife anything.,Beauty
92,Fall,317.94,349.73,381.53,out_of_stock,During call north attention share debate democratic thank forget challenge.,Clothing
93,Long,89.12,98.03,106.94,out_of_stock,Able teach certain candidate economy company produce ago address so draw food company.,Beauty
94,Prove,160.16,176.18,192.19,available,Camera inside box as large gun.,Beauty
95,They,104.62,115.08,125.54,available,Board mean war analysis situation term miss leader who article look husband rather.,Home
96,His,456.75,502.43,548.1,discontinued,Republican kitchen tonight focus chance call person one Republican herself our far.,Electronics
97,Commercial,158.99,174.89,190.79,out_of_stock,Painting between reduce table prepare shoulder result Democrat later direction fund law.,Sports
98,Hospital,324.45,356.9,389.34,out_of_stock,Role fine fine effort well rather listen before be it season.,Electronics
99,Hear,132.47,145.72,158.96,discontinued,Speech news only no form business government program seek test.,Sports
100,Determine,336.43,370.07,403.72,out_of_stock,Why outside goal official defense prevent.,Electronics
